model_name,timestamp,epoch,train_loss,valid_loss,accuracy,lr
resnet18,2025-10-17T16:39:13.878809,20,1.989960789680481,2.0944089889526367,0.44900351762771606,0.00012161874748067053
resnet18,2025-10-17T16:39:13.878816,21,1.9585392475128174,2.323638916015625,0.3798358738422394,0.00012252902633472595
resnet18,2025-10-17T16:39:13.878823,22,1.8800610303878784,1.8632795810699463,0.516998827457428,0.00012364132874324266
resnet18,2025-10-17T16:39:13.878830,23,1.8351259231567383,2.0084731578826904,0.4759671688079834,0.00012495549838216954
resnet18,2025-10-17T16:39:13.878837,24,1.7819772958755493,1.724759578704834,0.5287221670150757,0.00012647135055684046
resnet18,2025-10-17T16:39:13.878844,25,1.7053008079528809,1.8050848245620728,0.5099648237228394,0.00012818867222793133
resnet18,2025-10-17T16:39:13.878850,26,1.6560540199279785,1.6970335245132446,0.5498241782188416,0.00013010722204140137
resnet18,2025-10-17T16:39:13.878857,27,1.6308726072311401,1.7966399192810059,0.5345838069915771,0.00013222673036241295
resnet18,2025-10-17T16:39:13.878864,28,1.5755267143249512,1.5925076007843018,0.5720984935760498,0.00013454689931322598
resnet18,2025-10-17T16:39:13.878870,29,1.5295615196228027,1.6474053859710693,0.5627198219299316,0.00013706740281506274
resnet18,2025-10-17T16:39:13.878877,30,1.4612257480621338,1.5191450119018555,0.5955451130867004,0.00013978788663393448
resnet18,2025-10-17T16:39:13.878883,31,1.4462085962295532,1.545772910118103,0.5908557772636414,0.0001427079684304264
resnet18,2025-10-17T16:39:13.878889,32,1.4118719100952148,1.5352723598480225,0.5955451130867004,0.00014582723781343196
resnet18,2025-10-17T16:39:13.878896,33,1.4113439321517944,1.5200872421264648,0.6049237847328186,0.00014914525639782902
resnet18,2025-10-17T16:39:13.878904,34,1.3621021509170532,1.472093105316162,0.6060961484909058,0.00015266155786609138
resnet18,2025-10-17T16:39:13.878912,35,1.384716272354126,1.4921367168426514,0.6236811280250549,0.00015637564803382597
resnet18,2025-10-17T16:39:13.878919,36,1.368028163909912,1.5209881067276,0.5849941372871399,4e-05
resnet18,2025-10-17T16:39:13.878926,37,1.4010823965072632,1.5704121589660645,0.5967174768447876,4.003372983104283e-05
resnet18,2025-10-17T16:39:13.878933,38,1.3788930177688599,1.4939335584640503,0.6002344489097595,4.0134914583748496e-05
resnet18,2025-10-17T16:39:13.878939,39,1.3845698833465576,1.5422463417053223,0.586166501045227,4.030354003751438e-05
resnet18,2025-10-17T16:39:13.878946,40,1.3992189168930054,1.451181411743164,0.6107854843139648,4.053958249355685e-05
resnet18,2025-10-17T16:39:13.878953,41,1.376983880996704,1.5534554719924927,0.5873388051986694,4.084300877824198e-05
resnet18,2025-10-17T16:39:13.878959,42,1.3644697666168213,1.5645216703414917,0.5885111093521118,4.121377624774756e-05
resnet18,2025-10-17T16:39:13.878965,43,1.3346213102340698,1.5026198625564575,0.6084408164024353,4.165183279405652e-05
resnet18,2025-10-17T16:39:13.878972,44,1.3308212757110596,1.5560147762298584,0.589683473110199,4.2157116852280154e-05
resnet18,2025-10-17T16:39:13.878978,45,1.3012750148773193,1.4974088668823242,0.5955451130867004,4.2729557409310444e-05
resnet18,2025-10-17T16:39:13.878985,46,1.304327130317688,1.52033269405365,0.5967174768447876,4.336907401380046e-05
resnet18,2025-10-17T16:39:13.878991,47,1.2810895442962646,1.409729242324829,0.6213364601135254,4.407557678747099e-05
resnet18,2025-10-17T16:39:13.878999,48,1.278531789779663,1.4333959817886353,0.6377491354942322,4.4848966437741996e-05
resnet18,2025-10-17T16:39:13.879006,49,1.2420880794525146,1.4181149005889893,0.6260257959365845,4.5689134271687575e-05
