Class,Total_Samples,Correct,Incorrect,Accuracy,Precision,Recall,F1_Score
Trickle_and_dribble,5,3,2,0.6,0.75,0.6,0.6666666666666665
Crackle,12,7,5,0.5833333333333334,0.5384615384615384,0.5833333333333334,0.5599999999999999
Motorcycle,12,7,5,0.5833333333333334,0.7,0.5833333333333334,0.6363636363636365
Whispering,7,4,3,0.5714285714285714,0.8,0.5714285714285714,0.6666666666666666
Traffic_noise_and_roadway_noise,11,6,5,0.5454545454545454,0.5,0.5454545454545454,0.5217391304347826
Scissors,11,6,5,0.5454545454545454,0.4,0.5454545454545454,0.4615384615384615
Fart,6,3,3,0.5,0.42857142857142855,0.5,0.4615384615384615
Hiss,12,6,6,0.5,0.46153846153846156,0.5,0.48000000000000004
Keys_jangling,10,5,5,0.5,0.5,0.5,0.5
Electric_guitar,6,3,3,0.5,0.75,0.5,0.6
Marimba_and_xylophone,8,4,4,0.5,0.6666666666666666,0.5,0.5714285714285715
Mechanical_fan,10,5,5,0.5,0.35714285714285715,0.5,0.41666666666666663
Fill_(with_liquid),8,4,4,0.5,0.3333333333333333,0.5,0.4
Zipper_(clothing),11,5,6,0.45454545454545453,0.4166666666666667,0.45454545454545453,0.43478260869565216
Printer,9,4,5,0.4444444444444444,0.4,0.4444444444444444,0.4210526315789474
Run,12,5,7,0.4166666666666667,0.5555555555555556,0.4166666666666667,0.4761904761904762
Cricket,12,5,7,0.4166666666666667,0.45454545454545453,0.4166666666666667,0.43478260869565216
Bass_drum,5,2,3,0.4,0.5,0.4,0.4444444444444445
Male_speech_and_man_speaking,5,2,3,0.4,0.6666666666666666,0.4,0.5
Squeak,3,1,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Child_speech_and_kid_speaking,3,1,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Clapping,3,1,2,0.3333333333333333,0.5,0.3333333333333333,0.4
Accelerating_and_revving_and_vroom,6,2,4,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444
Chewing_and_mastication,13,4,9,0.3076923076923077,0.4444444444444444,0.3076923076923077,0.3636363636363637
Sneeze,8,2,6,0.25,0.4,0.25,0.3076923076923077
Walk_and_footsteps,6,1,5,0.16666666666666666,0.25,0.16666666666666666,0.2
Microwave_oven,9,1,8,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.13333333333333333
Slam,4,0,4,0.0,0.0,0.0,0.0
Raindrop,1,0,1,0.0,0.0,0.0,0.0
Tap,4,0,4,0.0,0.0,0.0,0.0
Crowd,1,0,1,0.0,0.0,0.0,0.0
Cutlery_and_silverware,2,0,2,0.0,0.0,0.0,0.0
Drip,1,0,1,0.0,0.0,0.0,0.0
Screaming,6,0,6,0.0,0.0,0.0,0.0
Acoustic_guitar,1,0,1,0.0,0.0,0.0,0.0
Yell,3,0,3,0.0,0.0,0.0,0.0
Cupboard_open_or_close,4,0,4,0.0,0.0,0.0,0.0
